
"Connection credentials","Forbindelse loginoplysninger"
"An error occurred while updating your wishlist.", "Der opstod en fejl under opdatering af din ønskeliste."
"Cannot specify your wishlist item.", "Kan ikke angive dit ønskelisteprodukt."
"The product does not exist.", "Produktet findes ikke."
"Wishlist item removed", "Ønskelisteprodukt fjernet"
"An error occurred while deleting the item from wishlist: %s", "Der opstod en fejl under sletning af produkt fra ønskeliste: %s"
"An error occurred while deleting the item from wishlist.", "Der opstod en fejl under sletning af produkt fra ønskeliste."
"Can't save description %s", "Kan ikke gemme beskrivelse: %s"
"Can't delete item from wishlist", "Kan ikke slette produkt fra ønskeliste"
"Can't save qty %s", "Kan ikke gemme antal %s"
"Wishlist updated successfully", "Ønskeliste opdateret"
"Can't update wishlist", "Kan ikke opdatere Ønskeliste"
"No item updated", "Produkt er ikke opdateret"
"Cannot specify product", "Kan ikke specificere produkt"
"%s has been added to your wishlist.", "%s Er blevet føjet til din ønskeliste."
"An error occurred while adding item to your wishlist: %s", "Der opstod en fejl under opdatering af produkt til din ønskeliste: %s"
"An error occurred while adding item to your wishlist", "Der opstod en fejl under opdatering af produkt til din ønskeliste"
"Wishlist not allowed", "Ønskeliste ikke tilladt"
"Wishlist doesn't exist", "Ønskeliste findes ikke"
"Customer not logged in", "Kunden er ikke logget ind"
"Cart is empty.", "Indkøbskurven er tom."
"Coupon is not valid: ", "Rabatkoden er ikke gyldig: "
"Coupon could not be applied.", "Kupon kunne ikke anvendes."
"%s: Minimum quantity allowed for purchase is %s.", "%s: Minimum mængde tilladt for køb er %s."
"%s: Maximum quantity allowed for purchase is %s.", "%s: Maximale mængde tilladt for køb er %s."
"%s was added to your shopping cart.", "%s Blev tilføjet til kurven."
"No cart data found.", "Ingen indkøbskurvdata fundet."
"Your shopping cart has been updated.", "Din inkøbskurv er blevet opdateret."
"No bundle-product cart item ID found.", "Ingen bundle-produkt indkøbskurvprodukt ID fundet."
"The product you are trying to delete could not be found in the cart (item id is %s not found in cart).", "Det produkt, du forsøger at slette kunne ikke findes i indkøbskurven (produkt ID er %s ikke fundet i indkøbskurven)"
"The product has been deleted from your shopping cart.", "Varen er blevet fjernet fra indkøbskurven."
"Category not found.", "Kategori ikke fundet."
"Category not available.", "Kategori ikke tilgængelig."
"No category found.", "Ingen kategori fundet."
"Your search returns no results.", "Din søgning gav ikke resultat."
"Query cannot be empty.", "Forespørgsel kan ikke være tom."
"Methods are not complete yet. Cart shipping address is not yet completed and saved.", "Metoder er ikke endnu ikke komplette. Inkøbskurvens leveringsadresse er endnu ikke afsluttet og gemt."
"Methods are not complete yet. Cart is empty.", "Metoder er endnu ikke komplette. Indkøbskurven er tom."
"Shipping method has no shipping carrier object: %s", "Leveringsmetode har intet fragtfirma objekt: %s"
"Carrier object has no collectRates method: %s", "Fragtfirma object har ingen collectRates metode: %s"
"Shipping method has no rates object: %s", "Forsendelsesmetode har ingen pris object: %s"
"Shipping method has no getAllRates function: %s", "Forsendelsesmetode har ingen hentAllRates funktion: %s"
"Shipping method has no rates: %s", "Forsendelsesmetode har ingen priser: %s"
"Shipping method can not be empty.", "Forsendelsemetode kan ikke være tom."
"This shipping method is currently not available.", "Denne forsendelsemetode er i øjeblikket ikke tilgænglig."
"Customer shipping address not found.", "Kunde leveringsadresse ikke fundet."
"Customer shipping address email not found.", "Kunde leveringsadresse e-mail ikke fundet."
"Customer billing address not found.", "Kunde faktureringsadresse ikke fundet."
"Payment method cannot be empty.", "Betalingsmetode kan ikke være tom."
"Email cannot be empty.", "E-mail feltet ma ikke være tomt."
"This payment method is currently not available.", "Denne betalingsmetode er i øjeblikket ikke tilgænglig."
"Please add ", "Tilføj venligst "
"Request info not matches the order.", "Ønskede oplysninger svarer ikke til ordren."
"No payment provider to redirect found.", "Ingen betalings udbyder er fundet til at omdirigere."
"Request info does not match the quote. Probably the cart is ordered or the session is expired.", "Ønskede oplysninger ikke svarer til tilbuddet. Indkøbskurven er måske allerede bestilt, eller session er udløbet."
"Cart is no longer active.", "Indkøbskurven er ikke længere aktiv."
"Replaced by new order.", "Erstattet af ny ordre."
"Cannot save the address: ", "Kan ikke gemme adressen: "
"The address does not belong to this customer.", "Adressen tilhører ikke denne kunde."
"Default billing address can not be removed.", "Standard faktureringsadresse kan ikke fjernes."
"Default shipping address can not be removed.", "Standard leveringsadresse kan ikke fjernes."
"An error occurred while deleting the address.", "Der opstod en fejl under sletning af adressen."
"Address ID can not be empty.", "Adresse ID kan ikke være tom."
"New password field cannot be empty.", "New password field cannot be empty."
"Invalid current password", "Nuværende adgangskode er ugyldig"
"The account information has been saved.", "Kontoinformation er blevet gemt."
"Could not retrieve list: ", "Kunne ikke hente liste: "
"Order not found (no ID).", "Bestilling ikke fundet (ingen ID)."
"Invalid email address.", "Ugyldig email adresse."
"Please enter your email.", "Venligst indtast din e-mailadresse."
"This account needs confirmation. See in confirmation email.", "Denne konto skal bekræftes."
"No products found.", "Ingen produkter fundet."
"Category not found.", "Kategori ikke fundet."
"Cannot find customer ID, please try again!", "Kan ikke finde kunde ID, prøv igen!"
"You must leave at least one payment method available.", "Du skal stille mindst én betalingsmetode til rådighed."
"You must leave at least one shipping method available.", "Du skal have mindst én forsendelsesmetode tilgængelig."
"None", "Ingen"
"Base Image", "Billede"
"Small Image", "Lille billede"
"Thumbnail", "Thumbnail"
"Shipping Excl. Tax (%s)", "Forsendelse Ekskl. Moms (%s)"
"Shipping Incl. Tax (%s)", "Forsendelse Inkl. Moms (%s)"
"Subtotal (Excl. Tax)", "Subtotal Ekskl. Moms"
"Subtotal (Incl. Tax)", "Subtotal Inkl. Moms"
"Grand Total Excl. Tax", "Samlet Total Ekskl. Moms"
"Grand Total Incl. Tax", "Samlet Total Inkl. Moms"
"Unable to set Payment Method.", "Kan ikke indstille betalingsmetode."
"Reports", "Rapporter"
"Order Details", "Ordreinformation"
"Sales Reports", "Salgsrapporter"
"Orders Reports", "Ordrerrapporter"
"Customers Reports", "Kunderrapporter"
"Version", "Version"
"The plugin version", "Plugin versionen"
"User Name", "Brugernavn"
"This username will be checked from every App while a session is set up between the App and the Magento store.", "Dette brugernavn vil blive kontrolleret fra hver App mens en session startes op mellem App’en og Magento butikken."
"Api Key", "Api Nøgle"
"This key will be checked from every App while a session is set up between the App and the Magento store.", "Denne nøgle vil blive kontrolleret fra hver App mens en session startes op mellem App’en og Magento butikken."
"Use token for Api communications", "Anvend meddelelse for Api kommunikation"
"Use token will add check and refresh the token with every request.", "Brug af meddelelse vil tilføje kontrol og opfriske meddelelse med hver anmodning."
"Catalogue Settings", "Katalogindstillinger"
"Include all active categories", "Inkluder alle aktive kategorier"
"Include all ""Active"" categories regardless of whether or not they are included in navigation", "Inkluder alle ""Aktive"" kategorier, uanset om de indgår i navigation eller ej"
"Display attribute on Product Listing", "Vis attribut på Produktliste"
"This attribute will be displayed in product listing", "Denne attribut vil blive vist i produktoversigten"
"Display attribute on Product Details", "Vis attribut i Produktinformation"
"This attribute will be displayed in product details", "Denne attribut vil blive vist i produktinformation"
"Mobile App Checkout Settings", "Mobile App Kasse Indstillinger"
"Excluded shipping methods", "Ekskluderede forsendelsesmetoder"
"Select one or more, but not all shipping methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Vælg en eller flere, men ikke alle forsendelsesmetoder, der ikke er egnet / kompatible til brug i mobil app miljø. Dette kan instilles når som helst under eller efter oprettelsen al JMango360 applikation."
"Excluded payment methods", "Ekskluderede betalingsmetoder"
"Select one or more, but not all payment methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Vælg en eller flere, men ikke alle betalingsmetoder, der ikke er egnet / kompatible til brug i mobil app miljø. Dette kan indstilles når som helst under eller efter oprettelsen af JMango360 applikation."
"Web checkout URL", "Web kasse URL"
"Enter custom checkout url of website if Jmango360 plugin could not detect. Ex: checkout/onepage.", "Indtast brugerdefineret check-ud eller hjemmeside, hvis Jmango360 plugin ikke kunne findes. Ex: kasse/onepage"
"Product image gallery settings", "Produkt billedgalleri indstillinger"
"Detail page image cache-width", "Detalje side billede cache-bredde"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Angiv standard ""cachelagerede"" størrelse for ""store"" billeder pa informationssider."
"Detail page image cache-height", "Informationsside billed cache-højde"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Angiv standard ""cachelagerede"" størrelse for ""store"" billeder på informationsider."
"Catalogue image cache-width", "Katalog billede cache-bredde"
"Set the default ""cached"" size for images on the catalogue pages.", "Angiv standard ""cachelageret"" størrelse for billeder på katalog sider."
"Catalogue image cache-height", "Katalog billede cache-højde"
"Set the default ""cached"" size for images on the catalog pages.", "Angiv standard ""cached"" størrelse for billeder paa katalogsider."
"Thumbnail image cache-width", "Miniaturebillede cache-bredde"
"Set the default ""cached"" size for thumbnails on the detail pages.", "Angiv standard ""cachelagerede"" størrelse for thumbnails på informationssiderne."
"Thumbnail image cache-height", "Thumbnail billede cache-højde"
"Set the default """cached"" size for thumbnails on the detail pages.", "Angiv standard ""cachelagerede"" størrelse for thumbnails på informationssiderne."
"Choose image type to be displayed if catalogue thumbnail is not available", "Vælg billedtype, der skal vises, hvis katalog thumbnail er ikke tilgængligt."
"Choose what kind of image of product that I would like to show in catalogue listing in mobile app.", "Vælg hvilken type produktbillede, som jeg vil gerne vise i katloglisten i mobiel app."
"Choose image type to be displayed on catalogue page", "Vælg billedtype, der skal vises på katalogside"
"Choose what kind of image of product that I would like to show in product listing in mobile app.", "Vaelg hvilken type produktbillede, som jeg vil gerne vise i produktlisten i mobil app."
"Stock Settings", "Lagerindstillinger"
"Display products availability in stock in mobile app", "Vis produkttilgængelighed på lager i mobil app"
"Developer", "Udvikler"
"Enable debug logging", "Aktiver debug logging"
"Log requests to japi.log. Disable in production.", "Log anmodninger om at japi.log. Deaktiver i produktionen."
"Sales", "Salg"
"Settings", "Indstillinger"
"Use Onepage checkout for mobile app","Brug Onepage kassen til mobil app"
"Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout","Vælg at bruge Jmango360 Onepage responsivt webdesign kasse til mobil app i stedet for standard Magento kassen"
"Hide non value additional attributes","Gem null vaerdi ekstra attributer"
"Attribute whose value is N/A or blank will not be displayed on Additional Information on product detail page","Attribut hvis værdi er N/A eller tom, vil ikke blive vist som Ekstra information på  produktinformationssiden."
"Mobile App Login Settings","Mobil App Login Indstillinger"
"App users must login to see product prices","App brugere skal logge ind for at se priser og tilføje til indkøbskurv knap"
"This will prevent mobile app user using app without an account.","Dette vil forhindre mobile app bruger i at anvende app uden en konto."
"Enable Order From in orders list","Aktiver Ordre Fra ordrerliste"
"Select to view which orders are from JMango360","Vælg for at se, hvilke ordrer er fra JMango360"
"Enable JMango360 User in Customers list","Aktiver JMango360 Bruger fra Kundeliste"
"Select to view which customers are from JMango360","Vælg for at se, hvilken kunder er fra JMango360"
"Adding extra attributes to registration form","Tilføjelse ekstra attributer på opretningsformular"
"Adding these attributes to customer registration form in mobile app","Tilføjelse af disse attributter til kundes opretningsformular i mobil app"
"Show image of child product in Grouped Product Detail on mobile","Vis billede af børneprodukt i Grupperet Produktinformation på mobil"
"Please wait","Vent venligst"
"Enter xml layout update code here, it will only affect JMango360 Onepage checkout page","Intast xml layout opdateringskode her, det vil kun påvirke JMango360 Onepage kasseside"
"Enter css code here, it will only append to JMango360 Onepage checkout page","Indtast css kode her, vil det kun blive tilføje til JMango360 Onepage kasseside"
"A new version of the JMango360 Mobile plugin %s is available. Please update.","En ny version af JMango360 Mobile plugin %s er tilgængelig. Opdater venligst."
"Group ID not found.","Group ID not found."
"Group not found.","Group not found."
"Sales Settings","Salg Indstillinger"
"Customer Settings","Kunde Indstillinger"
"Street Address #2 Label", "Gade #2 label"
"Set the label for 2nd street address.", "Indstil label til anden adresse."
"Street Address #2 as Required", "Gade #2 som Påkraevet"
"Set if the street address field is required input.", "Anvend hvis adressefeltet påkræver input."
"Street Address #2 Validation", "Gade #2 Godkendelse"
"Set type of input for the street address field.", "Indstil type input til adressefeltet."
"Street Address #3 Label", "Gade #3 Label"
"Set the label for 3rd street address.", "Indstil label til tredje adresse."
"Street Address #3 as Required", "Gade #3 som Påkrævet"
"Street Address #4 Label", "Gade #4 Label"
"Set the label for 4th street address.", "Indstil label til fjerde adresse."
"Set if the street address field is required input.", "Anvend hvis adressefeltet pakræver input."
"Please close this form and login with your new account.", "Luk denne formular og login med din nye konto."
"Enable Hide on App on Manage Products","Aktiver Skjul på App ved Administrer produkter"
"On Manage Products enable Hide on App","Aktiver Skjul på App ved Administrer produkter"
"Enable this option to choose if a product is hidden on app or not","Aktiver denne indstilling, for at vælge om et product skal skjules på app'en eller ej"
"Enable this option to choose whether or not this product is visible in the app","Aktiver denne indstilling, for at vælge om et product skal skjules på app'en eller ej"
"Hide on JMango360","Hide on JMango360"
"Hide on JMango360 App","Hide on JMango360 App"
"Override Default Sort Direction","Override Default Sort Direction"
"Choose to use direction here instead of mobile default sort direction.","Choose to use direction here instead of mobile default sort direction."
"Re-run SQL upgrade","Gentag SQL opgradering"
"Re-run successfully.","Gentag med succes."
"Custom Layout Update","Standard layout Opdatering"
"Custom CSS","Bestilt CSS"
