
"Connection credentials","Credenciales de conexión"
"Set the default ""cached"" size for thumbnails on the detail pages.", "Establezca el tamaño caché por defecto para imágenes en miniatura en las páginas de detalles."
"Thumbnail image cache-height", "Imagen en miniatura con altura caché"
"Set the default """cached"" size for thumbnails on the detail pages.", "Establezca el tamaño caché por defecto para imágenes en miniatura en la página de detalles."
"Choose image type to be displayed if catalogue thumbnail is not available", "Elija el tipo de imagen que se mostrará en caso de que la miniatura del catálogo no se encuentre disponible"
"Choose what kind of image of product that I would like to show in catalogue listing in mobile app.", "Elija la imagen del producto que se mostrará en el listado de la aplicación móvil."
"Choose image type to be displayed on catalogue page", "Elija el tipo de imagen que se mostrará en la página de catálogo"
"Choose what kind of image of product that I would like to show in product listing in mobile app.", "Elija la imagen del producto que se mostrará en el listado de la aplicación móvil."
"Stock Settings", "Ajustes del inventario"
"Display products availability in stock in mobile app", "Mostrar en la aplicación móvil la disponibilidad de productos en el inventario"
"Developer", "Desarrollador"
"Enable debug logging", "Permitir el registro de depuración"
"Log requests to japi.log. Disable in production.", "Registrar el pedido de japi.log. Desabilitarlo en producción."
"Sales", "Ventas"
"Order Details", "Detalles de pedido"
"Settings", "Ajustes"
"Use Onepage checkout for mobile app","Use Onepage checkout for mobile app"
"Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout","Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout"
"Custom Layout Update","Custom Layout Update"
"Enter xml layout update code here, it will only affect JMango360 Onepage checkout page","Enter xml layout update code here, it will only affect JMango360 Onepage checkout page"
"Custom CSS","Custom CSS"
"Enter css code here, it will only append to JMango360 Onepage checkout page","Enter css code here, it will only append to JMango360 Onepage checkout page"
"Hide non value additional attributes","Hide non value additional attributes"
"Attribute whose value is N/A or blank will not be displayed on Additional Information on product detail page","Atrribute whose value is N/A or blank will not be displayed on Additional Infomation on product detail page"
"Mobile App Login Settings","Mobile App Login Settings"
"App users must login to see product prices","App users must login to see product prices"
"This will prevent mobile app user using app without an account.","This will prevent mobile app user using app without an account."
"Discount Codes","Discount Codes"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Enable Order From in orders list","Enable Order From in orders list"
"Select to view which orders are from JMango360","Select to view which orders are from JMango360"
"Enable JMango360 User in Customers list","Enable JMango360 User in Customers list"
"Select to view which customers are from JMango360","Select to view which customers are from JMango360"
"Adding extra attributes to registration form","Adding extra attributes to registration form"
"Adding these attributes to customer registration form in mobile app","Adding these attributes to customer registration form in mobile app"
"Show image of child product in Grouped Product Detail on mobile","Show image of child product in Grouped Product Detail on mobile"
"Please wait","Please wait"
"A new version of the JMango360 Mobile plugin %s is available. Please update.","A new version of the JMango360 Mobile plugin %s is available. Please update."
"Group ID not found.","Group ID not found."
"Group not found.","Group not found."
"Sales Settings","Sales Settings"
"Customer Settings","Customer Settings"
"Street Address #2 Label", "Street Address #2 Label"
"Set the label for 2nd street address.", "Set the label for 2nd street address."
"Street Address #2 as Required", "Street Address #2 as Required"
"Set if the street address field is required input.", "Set if the street address field is required input."
"Street Address #2 Validation", "Street Address #2 Validation"
"Set type of input for the street address field.", "Set type of input for the street address field."
"Street Address #3 Label", "Street Address #3 Label"
"Set the label for 3rd street address.", "Set the label for 3rd street address."
"Street Address #3 as Required", "Street Address #3 as Required"
"Street Address #4 Label", "Street Address #4 Label"
"Set the label for 4th street address.", "Set the label for 4th street address."
"Set if the street address field is required input.", "Set if the street address field is required input."
"Please close this form and login with your new account.", "Please close this form and login with your new account."
"Enable Hide on App on Manage Products","Enable Hide on App on Manage Products"
"On Manage Products enable Hide on App","On Manage Products enable Hide on App"
"Enable this option to choose if a product is hidden on app or not","Enable this option to choose if a product is hidden on app or not"
"Enable this option to choose whether or not this product is visible in the app","Enable this option to choose whether or not this product is visible in the app"
"Hide on JMango360","Hide on JMango360"
"Hide on JMango360 App","Hide on JMango360 App"
"Override Default Sort Direction","Override Default Sort Direction"
"Choose to use direction here instead of mobile default sort direction.","Choose to use direction here instead of mobile default sort direction."
"Re-run SQL upgrade","Re-run SQL upgrade"
"Re-run successfully.","Re-run successfully."
