
"Connection credentials","Tilkoblingsinformasjon"
"Category not available.", "Kategori ikke tilgjengelig."
"No category found.", "Ingen kategori funnet."
"Your search returns no results.", "Ditt søk gir ingen resultater."
"Query cannot be empty.", "Etterspørsel kan ikke være tom."
"Methods are not complete yet. Cart shipping address is not yet completed and saved.", "Metoder er ikke fullført enda. Handlekurvens fraktadresse er ikke fullført og lagret enda."
"Methods are not complete yet. Cart is empty.", "Metoder er ikke fullført enda. Handlekurven er tom."
"Shipping method has no shipping carrier object: %s", "Fraktmetode har ingen fraktleverandør: %s"
"Carrier object has no collectRates method: %s", "Fraktleverandør har ingen collectRates-metoder: %s"
"Shipping method has no rates object: %s", "Fraktmetode har ingen prisobjekt: %s"
"Shipping method has no getAllRates function: %s", "Fraktmetode har ingen getAllRates-funksjon: %s"
"Shipping method has no rates: %s", "Fraktmetode har ingen pris: %s"
"Shipping method can not be empty.", "Fraktmetode kan ikke være tom."
"This shipping method is currently not available.", "Denne fraktmetoden er for øyeblikket ikke tilgjengelig."
"Customer shipping address not found.", "Kundens fraktadresse er ikke funnet."
"Customer shipping address email not found.", "Kunders fraktadresse e-post er ikke funnet."
"Customer billing address not found.", "Kundens faktureringsadresse er ikke funnet."
"Payment method cannot be empty.", "Betalingsmetode kan ikke være tom."
"Email cannot be empty.", "E-post kan ikke være tom."
"This payment method is currently not available.", "Denne betalingsmetoden er for øyeblikket ikke tilgjengelig."
"Please add ", "Vennligst legg til "
"Request info not matches the order.", "Den etterspurte informasjonen matcher ikke orderen."
"No payment provider to redirect found.", "Ingen betalingsleverandør å sendes til funnet."
"Request info does not match the quote. Probably the cart is ordered or the session is expired.", "Den etterspurte informasjonen matcher ikke bestillingen. Handlekurven kan allerede ha blitt bestilt eller så har det vært et tidsavbrudd."
"Cart is no longer active.", "Handlekurven er ikke lenger aktiv."
"Replaced by new order.", "Bytt ut med en ny ordre."
"Cannot save the address: ", "Kan ikke lagre adressen: "
"The address does not belong to this customer.", "Denne adressen tilhører ikke denne kunden."
"Default billing address can not be removed.", "Standard faktureringsadresse kan ikke fjernes."
"Default shipping address can not be removed.", "Standard fraktadresse kan ikke fjernes."
"An error occurred while deleting the address.", "En feil oppsto når adressen skulle slettes."
"Address ID can not be empty.", "Adresse-ID kan ikke være tom."
"New password field cannot be empty.", "New password field cannot be empty."
"Invalid current password", "Invalid passord"
"The account information has been saved.", "Kontoinformasjonen har blitt lagret."
"Could not retrieve list: ", "Kunne ikke skaffe liste: "
"Order not found (no ID).", "Ordre ikke funnet (ingen ID)."
"Invalid email address.", "Ugyldig e-postadresse."
"Please enter your email.", "Vennligst legg ved din e-postadresse."
"This account needs confirmation. See in confirmation email.", "Denne kontoen krevet bekreftelse. Se bekreftelses-e-posten."
"No products found.", "Ingen produkter er funnet."
"Category not found.", "Kategori er ikke funnet."
"Cannot find customer ID, please try again!", "Kan ikke finne kunde-ID, vennligst prøv igjen!"
"You must leave at least one payment method available.", "Du må ha minst en betalingsmetode tilgjengelig."
"You must leave at least one shipping method available.", "Du må ha minst en fraktmetode tilgjengelig."
"None", "Ingen"
"Base Image", "Basebilde"
"Small Image", "Lite bilde"
"Thumbnail", "Visningsbilde"
"Shipping Excl. Tax (%s)", "Frakt uten skatt (%s)"
"Shipping Incl. Tax (%s)", "Frakt med skatt (%s)"
"Subtotal (Excl. Tax)", "Subtotal (uten skatt)"
"Subtotal (Incl. Tax)", "Subtotal (med skatt)"
"Grand Total Excl. Tax", "Totalsum uten skatt"
"Grand Total Incl. Tax", "Totalsum med skatt"
"Unable to set Payment Method.", "Ikke mulig å opprette betalingsmetode."
"Reports", "Rapporter"
"Order Details", "Ordredetaljer"
"Sales Reports", "Salgsdetaljer"
"Orders Reports", "Ordrerapporter"
"Customers Reports", "Kunderapporter"
"Version", "Versjon"
"The plugin version", "Plug-in-versjon"
"User Name", "Brukernavn"
"This username will be checked from every App while a session is set up between the App and the Magento store.", "Dette brukernavnet vil bli sjekket fra enhver app når en tilkobling eksisterer mellom appen og Magento-butikken."
"Api Key", "Api-nøkkel"
"This key will be checked from every App while a session is set up between the App and the Magento store.", "Denne nøkkelen vil bli sjekket fra enhver app når en tilkobling eksisterer mellom appen og Magento-butikken."
"Use token for Api communications", "Bruk token for Api-kommunikasjoner"
"Use token will add check and refresh the token with every request.", "Bruk token vil legges til ved sjekk og oppdater token ved hver etterspørsel."
"Catalogue Settings", "Kataloginnstillinger"
"Include all active categories", "Inkluder alle aktive kategorier"
"Include all ""Active"" categories regardless of whether or not they are included in navigation", "Inkluder alle ""aktive"" kategorier selv om de ikke er inkludert i navigasjonen"
"Display attribute on Product Listing", "Vis egenskaper på produktlistene"
"This attribute will be displayed in product listing", "Denne egenskapen vil vises på produktlistene"
"Display attribute on Product Details", "Vis egenskaper på produktdetaljene"
"This attribute will be displayed in product details", "Denne egenskapet vil vises på produktdetaljene"
"Mobile App Checkout Settings", "Mobilapp utsjekks-innstillinger"
"Excluded shipping methods", "Ekskluder fraktmetoder"
"Select one or more, but not all shipping methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Velg en eller flere, men ikke alle fraktmetoder som er brukbare til å brukes i en mobil app. Denne kan settes opp når som helst under eller etter opprettelsen av JMango360-applikasjonen."
"Excluded payment methods", "Ekskluder betalingsmetoder"
"Select one or more, but not all payment methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Velg en eller flere, men ikke alle betalingsmetoder som er brukbare til å brukes i en mobil app. Denne kan settes opp når som helst under eller etter opprettelsen av JMango360-applikasjonen."
"Web checkout URL", "Web checkout-URL"
"Enter custom checkout url of website if Jmango360 plugin could not detect. Ex: checkout/onepage.", "Legg inn egendefinert checkout-URL av nettsiden hvis JMango360 plug-in ikke kan blir funnet. Eks: checkout/onepage."
"Product image gallery settings", "Produktbildegalleri-innstilinger"
"Detail page image cache-width", "Detail page image cache-width"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Set the default """cached"" size for ""big"" images on the detail pages."
"Detail page image cache-height", "Detail page image cache-height"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Set the default ""cached"" size for ""big"" images on the detail pages."
"Catalogue image cache-width", "Catalogue image cache-width"
"Set the default ""cached"" size for images on the catalogue pages.", "Set the default ""cached"" size for images on the catalogue pages."
"Catalogue image cache-height", "Catalogue image cache-height"
"Set the default ""cached"" size for images on the catalog pages.", "Set the default ""cached"" size for images on the catalog pages."
"Thumbnail image cache-width", "Thumbnail image cache-width"
"Set the default ""cached"" size for thumbnails on the detail pages.", "Set the default ""cached"" size for thumbnails on the detail pages."
"Thumbnail image cache-height", "Thumbnail image cache-height"
"Set the default """cached"" size for thumbnails on the detail pages.", "Set the default """cached"" size for thumbnails on the detail pages."
"Choose image type to be displayed if catalogue thumbnail is not available", "Velg bildetype som skal vises dersom katalogvisningsbildet ikke er tilgjengelig."
"Choose what kind of image of product that I would like to show in catalogue listing in mobile app.", "Velg hvilket produktbilde som skal vises i kataloglisten i den mobile appen."
"Choose image type to be displayed on catalogue page", "Velg bildetype som skal vises på katalogsiden"
"Choose what kind of image of product that I would like to show in product listing in mobile app.", "Velg hvilket produktbilde som skal vises i produktlisten i den mobile appen."
"Stock Settings", "Stock-innstillinger"
"Display products availability in stock in mobile app", "Vis produkttilgjengelighet i stock i mobilappen"
"Developer", "Utvikler"
"Enable debug logging", "Slå på debug-logg"
"Log requests to japi.log. Disable in production.", "Logg inn-forespørsel til japi.log. Slå av i produksjon."
"Sales", "Salg"
"Order Details", "Ordredetaljer"
"Settings", "Innstillinger"
"Use Onepage checkout for mobile app","Bruk Onepage-sjekkut for mobil app"
"Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout","Velg bruken av JMango360 Onepage web utsjekk for mobil app i stedet for vanlig Magento utsjekk"
"Custom Layout Update","Egendefinert Layout-oppdaterting"
"Enter xml layout update code here, it will only affect JMango360 Onepage checkout page","Legg inn xml layout-kode her, det vil kun påvirke JMango360 Onepage-utsjekksside"
"Custom CSS","Egendefintert CSS"
"Enter css code here, it will only append to JMango360 Onepage checkout page","Enter CSS-kode her, den vil bare vises på JMango360 Onepage utsjekksside"
"Hide non value additional attributes","Skjul ikke-verdi ekstra egenskaper"
"Attribute whose value is N/A or blank will not be displayed on Additional Information on product detail page","Egenskaper med verdi N/A eller blank vil ikke bli vist i Ekstra informasjon om produktdetaljer-siden"
"Mobile App Login Settings","Mobil app-logg inn innstillinger"
"App users must login to see product prices","App-brukere må logge inn for å se priser og Legg-til-i-kassen-knappen"
"This will prevent mobile app user using app without an account.","Denne vil unngå at mobile app-brukere bruker appen uten konto."
"Discount Codes","Discount Codes"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Enable Order From in orders list","Slå på Ordre fra i ordre-listen"
"Select to view which orders are from JMango360","Velg å se hvilke ordre er fra JMango360"
"Enable JMango360 User in Customers list","Slå på JMango360-bruker i kundelisten"
"Select to view which customers are from JMango360","Velg å se hvilke kunder er fra JMango360"
"Adding extra attributes to registration form","Legg til ekstra egenskaper i registreringsskjemaet"
"Adding these attributes to customer registration form in mobile app","Legg til ekstra egenskaper i kunderegistreringsskjermaet i mobilappen"
"Show image of child product in Grouped Product Detail on mobile","Vis bilde av barneproduktet i gruppe-produktdetalj på mobil"
"Please wait","Vennligst vent"
"A new version of the JMango360 Mobile plugin %s is available. Please update.","En ny versjon av JMango360 mobilplug-in %s er tilgjengelig."
"Group ID not found.","Group ID not found."
"Group not found.","Group not found."
"Sales Settings","Salgsinnstillinger"
"Customer Settings","Kundeinnstillinger"
"Street Address #2 Label", "Gateadresse #2-notat"
"Set the label for 2nd street address.", "Sett notat for 2. gateadresse."
"Street Address #2 as Required", "Gateadresse #2 er påkrevd"
"Set if the street address field is required input.", "Sett hvis gateadressefeltet også er påkrevd."
"Street Address #2 Validation", "Gateadresse #2 validering"
"Set type of input for the street address field.", "Sett type input for gateadressefelt"
"Street Address #3 Label", "Gateadresse #3-notat"
"Set the label for 3rd street address.", "Sett notat for 3. gateadresse."
"Street Address #3 as Required", "Gateadresse #3 er påkrevd"
"Street Address #4 Label", "Gateadresse #4-notat"
"Set the label for 4th street address.", "Sett notat for 4. gateadresse."
"Set if the street address field is required input.", "Sett hvis gateadressefeltet også er påkrevd."
"Please close this form and login with your new account.", "Vennligst legg ned dette skjemaet og logg inn med din nye konto."
"Enable Hide on App on Manage Products","Enable Hide on App on Manage Products"
"On Manage Products enable Hide on App","On Manage Products enable Hide on App"
"Enable this option to choose if a product is hidden on app or not","Enable this option to choose if a product is hidden on app or not"
"Enable this option to choose whether or not this product is visible in the app","Enable this option to choose whether or not this product is visible in the app"
"Hide on JMango360","Hide on JMango360"
"Hide on JMango360 App","Hide on JMango360 App"
"Override Default Sort Direction","Override Default Sort Direction"
"Choose to use direction here instead of mobile default sort direction.","Choose to use direction here instead of mobile default sort direction."
"Re-run SQL upgrade","Re-run SQL upgrade"
"Re-run successfully.","Re-run successfully."
"Back to app","Back to app"
"Overall Rating","Overall Rating"
"Review Title","Review Title"
"Review","Review"
"Nickname","Nickname"
"I agree to the terms & conditions","I agree to the terms & conditions"
"Would you recommend this product to your friends?","Would you recommend this product to your friends?"
"I recommend this product","I recommend this product"
"I do not recommend this product","I do not recommend this product"
"JMango360 Native Payment", "JMango360 Native Payment"
"Anonymous","Anonymous"
"Originally posted on %s.","Originally posted on %s."
