
"Connection credentials","Διαπιστευτήρια σύνδεσης"
"Coupon is not valid: ", "Το κουπόνι δεν είναι έγκυρο: "
"Coupon could not be applied.", "Το κουπόνι δεν μπορεί να εφαρμοστεί."
"%s: Minimum quantity allowed for purchase is %s.", "%s: Η ελάχιστη δυνατή ποσότητα αγοράς είναι %s."
"%s: Maximum quantity allowed for purchase is %s.", "%s: Η μέγιστη δυνατή ποσότητα αγοράς είναι %s."
"%s was added to your shopping cart.", "%s προστέθηκε στο καλάθι αγορών σας."
"No cart data found.", "Δεν βρέθηκαν δεδομένα στο καλάθι."
"Your shopping cart has been updated.", "Το καλάθι αγορών σας έχει ενημερωθεί."
"No bundle-product cart item ID found.", "Δεν βρέθηκε Κωδικός προϊόντος στο καλάθι να αντιστοιχεί σε συνδυασμό προϊόντων."
"The product you are trying to delete could not be found in the cart (item id is %s not found in cart).", "Το προϊόν που προσπαθείτε να διαγράψετε δεν μπορεί να βρεθεί στο καλάθι (ο κωδικός προϊόντος %s δεν βρέθηκε στο καλάθι)."
"The product has been deleted from your shopping cart.", "Το προϊόν έχει αφαιρεθεί από το καλάθι αγορών σας."
"Category not found.", "Δεν βρέθηκε η κατηγορία."
"Category not available.", "Η κατηγορία δεν είναι διαθέσιμη."
"No category found.", "Δεν βρέθηκε καμία κατηγορία."
"Your search returns no results.", "Η αναζήτησή σας δεν επιστρέφει κανένα αποτέλεσμα."
"Query cannot be empty.", "Το ερώτημα αναζήτησης δεν μπορεί να είναι κενό."
"Methods are not complete yet. Cart shipping address is not yet completed and saved.", "Οι μέθοδοι δεν είναι ακόμη πλήρεις. Η διεύθυνση αποστολής του καλαθιού δεν έχει ακόμη ολοκληρωθεί και αποθηκευτεί."
"Methods are not complete yet. Cart is empty.", "Οι μέθοδοι δεν είναι ακόμη πλήρεις. Το καλάθι είναι άδειο."
"Shipping method has no shipping carrier object: %s", "Η μέθοδος αποστολής δεν διαθέτει κανένα αντικείμενο μεταφορέα: %s"
"Carrier object has no collectRates method: %s", "Το αντικείμενο μεταφορέα δεν διαθέτει καμία μέθοδο collectRates: %s"
"Shipping method has no rates object: %s", "Η μέθοδος αποστολής δεν διαθέτει κανένα αντικείμενο τιμών: %s"
"Shipping method has no getAllRates function: %s", "Η μέθοδος αποστολής δεν διαθέτει καμία λειτουργία getAllRates: %s"
"Shipping method has no rates: %s", "Η μέθοδος αποστολής δεν διαθέτει καμία τιμή: %s"
"Shipping method can not be empty.", "Η μέθοδος αποστολής δεν μπορεί να είναι κενή."
"This shipping method is currently not available.", "Η μέθοδος αποστολής είναι προς το παρόν μη διαθέσιμη."
"Customer shipping address not found.", "Δεν βρέθηκε η διεύθυνση αποστολής πελάτη."
"Customer shipping address email not found.", "Δεν βρέθηκε η διεύθυνση ηλεκτρονικού ταχυδρομείου πελάτη."
"Customer billing address not found.", "Δεν βρέθηκε η διεύθυνση τιμολόγησης πελάτη."
"Payment method cannot be empty.", "Η μέθοδος πληρωμής δεν μπορεί να είναι κενή."
"Email cannot be empty.", "Το email δεν μπορεί να είναι κενό."
"This payment method is currently not available.", "Αυτή η μέθοδος πληρωμής δεν είναι προς το παρόν διαθέσιμη."
"Please add ", "Παρακαλούμε προσθέστε "
"Request info not matches the order.", "Οι αιτούμενες πληροφορίες δεν ταιριάζουν με την παραγγελία."
"No payment provider to redirect found.", "Δεν βρέθηκε πάροχος πληρωμών για ανακατεύθυνση."
"Request info does not match the quote. Probably the cart is ordered or the session is expired.", "Οι αιτούμενες πληροφορίες δεν ταιριάζουν με την προσφορά. Το καλάθι μπορεί να έχει ήδη παραγγελθεί ή η περίοδος σύνδεσης έχει λήξει."
"Cart is no longer active.", "Το καλάθι δεν είναι πλέον ενεργό."
"Replaced by new order.", "Αντικαταστάθηκε από νέα παραγγελία."
"Cannot save the address: ", "Δεν είναι δυνατή η αποθήκευση της διεύθυνσης: "
"The address does not belong to this customer.", "Η διεύθυνση δεν ανήκει σε αυτόν τον πελάτη."
"Default billing address can not be removed.", "Δεν μπορεί να αφαιρεθεί η προεπιλεγμένη διεύθυνση τιμολόγησης."
"Default shipping address can not be removed.", "Δεν μπορεί να αφαιρεθεί η προεπιλεγμένη διεύθυνση αποστολής."
"An error occurred while deleting the address.", "Παρουσιάστηκε κάποιο σφάλμα κατά τη διαγραφή της διεύθυνσης."
"Address ID can not be empty.", "Ο Κωδικός Διεύθυνσης δεν μπορεί να είναι κενός."
"New password field cannot be empty.", "New password field cannot be empty."
"Invalid current password", "Μη έγκυρος τρέχων κωδικός πρόσβασης"
"The account information has been saved.", "Οι πληροφορίες λογαριασμού έχουν αποθηκευτεί."
"Could not retrieve list: ", "Δεν είναι δυνατή η ανάκτηση της λίστας: "
"Order not found (no ID).", "Δεν βρέθηκε η παραγγελία (Κανένας Κωδικός)."
"Invalid email address.", "Μη έγκυρη διεύθυνση ηλεκτρονικού ταχυδρομείου."
"Please enter your email.", "Παρακαλούμε εισάγετε το email σας."
"This account needs confirmation. See in confirmation email.", "Αυτός ο λογαριασμός χρειάζεται επαλήθευση, Δείτε το email επιβεβαίωσης."
"No products found.", "Δεν βρέθηκαν προϊόντα."
"Category not found.", "Δεν βρέθηκε κατηγορία."
"Cannot find customer ID, please try again!", "Δεν είναι δυνατή η ανεύρεση Κωδικού Πελάτη, παρακαλούμε δοκιμάστε πάλι!"
"You must leave at least one payment method available.", "Πρέπει να αφήσετε διαθέσιμη τουλάχιστον μία μέθοδο αποστολής."
"You must leave at least one shipping method available.", "Πρέπει να αφήσετε διαθέσιμη τουλάχιστον μία μέθοδο αποστολής."
"None", "None"
"Base Image", "Base Image"
"Small Image", "Small Image"
"Thumbnail", "Thumbnail"
"Shipping Excl. Tax (%s)", "Αποστολή μη συμπεριλαμβανομένου του Φόρου (%s)"
"Shipping Incl. Tax (%s)", "Αποστολή συμπεριλαμβανομένου του Φόρου (%s)"
"Subtotal (Excl. Tax)", "Μερικό Σύνολο (μη συμπεριλαμβανομένου του Φόρου)"
"Subtotal (Incl. Tax)", "Μερικό Σύνολο (συμπεριλαμβανομένου του Φόρου)"
"Grand Total Excl. Tax", "Τελικό Σύνολο μη συμπεριλαμβανομένου του Φόρου"
"Grand Total Incl. Tax", "Τελικό Σύνολο συμπεριλαμβανομένου του Φόρου"
"Unable to set Payment Method.", "Δεν είναι δυνατός ο καθορισμός Μεθόδου Πληρωμής."
"Reports", "Αναφορές"
"Order Details", "Στοιχεία Παραγγελίας"
"Sales Reports", "Αναφορές Πωλήσεων"
"Orders Reports", "Αναφορές Παραγγελιών"
"Customers Reports", "Αναφορές Πελατών"
"Version", "Έκδοση"
"The plugin version", "Έκδοση plugin"
"User Name", "Όνομα Χρήστη"
"This username will be checked from every App while a session is set up between the App and the Magento store.", "Αυτό το όνομα χρήστη θα ελέγχεται από κάθε εφαρμογή ενώ υπάρχει ενεργή σύνδεση μεταξύ της Εφαρμογής και του καταστήματος Magento."
"Api Key", "Κλειδί Api"
"This key will be checked from every App while a session is set up between the App and the Magento store.", "Αυτό το κλειδί θα ελέγχεται από κάθε εφαρμογή ενώ υπάρχει ενεργή σύνδεση μεταξύ της Εφαρμογής και του καταστήματος Magento."
"Use token for Api communications", "Χρήση πιστοποιητικού διασύνδεσης για επικοινωνίες Api"
"Use token will add check and refresh the token with every request.", "Η χρήση πιστοποιητικού διασύνδεσης θα προσθέσει έλεγχο και ανανέωση του πιστοποιητικού με κάθε αίτημα."
"Catalogue Settings", "Ρυθμίσεις Καταλόγου"
"Include all active categories", "Include all active categories"
"Include all ""Active"" categories regardless of whether or not they are included in navigation", "Include all ""Active"" categories regardless of whether or not they are included in navigation"
"Display attribute on Product Listing", "Display attribute on Product Listing"
"This attribute will be displayed in product listing", "This attribute will be displayed in product listing"
"Display attribute on Product Details", "Display attribute on Product Details"
"This attribute will be displayed in product details", "This attribute will be displayed in product details"
"Mobile App Checkout Settings", "Mobile App Checkout Settings"
"Excluded shipping methods", "Excluded shipping methods"
"Select one or more, but not all shipping methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Select one or more, but not all shipping methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application."
"Excluded payment methods", "Excluded payment methods"
"Select one or more, but not all payment methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Select one or more, but not all payment methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application."
"Web checkout URL", "Web checkout URL"
"Enter custom checkout url of website if Jmango360 plugin could not detect. Ex: checkout/onepage.", "Enter custom checkout url of website if Jmango360 plugin could not detect. Ex: checkout/onepage."
"Product image gallery settings", "Product image gallery settings"
"Detail page image cache-width", "Detail page image cache-width"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Set the default """cached"" size for ""big"" images on the detail pages."
"Detail page image cache-height", "Detail page image cache-height"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Set the default ""cached"" size for ""big"" images on the detail pages."
"Catalogue image cache-width", "Catalogue image cache-width"
"Set the default ""cached"" size for images on the catalogue pages.", "Set the default ""cached"" size for images on the catalogue pages."
"Catalogue image cache-height", "Catalogue image cache-height"
"Set the default ""cached"" size for images on the catalog pages.", "Set the default ""cached"" size for images on the catalog pages."
"Thumbnail image cache-width", "Thumbnail image cache-width"
"Set the default ""cached"" size for thumbnails on the detail pages.", "Set the default ""cached"" size for thumbnails on the detail pages."
"Thumbnail image cache-height", "Thumbnail image cache-height"
"Set the default """cached"" size for thumbnails on the detail pages.", "Set the default """cached"" size for thumbnails on the detail pages."
"Choose image type to be displayed if catalogue thumbnail is not available", "Choose image type to be displayed if catalogue thumbnail is not available"
"Choose what kind of image of product that I would like to show in catalogue listing in mobile app.", "Choose what kind of image of product that I would like to show in catalogue listing in mobile app."
"Choose image type to be displayed on catalogue page", "Choose image type to be displayed on catalogue page"
"Choose what kind of image of product that I would like to show in product listing in mobile app.", "Choose what kind of image of product that I would like to show in product listing in mobile app."
"Stock Settings", "Stock Settings"
"Display products availability in stock in mobile app", "Display products availability in stock in mobile app"
"Developer", "Προγραμματιστής"
"Enable debug logging", "Ενεργοποίηση καταγραφής αρχείου συμβάντων"
"Log requests to japi.log. Disable in production.", "Καταγραφή αιτημάτων σε japi.log. Απενεργοποιήστε σε παραγωγική λειτουργία."
"Sales", "Sales"
"Order Details", "Order Details"
"Settings", "Settings"
"Use Onepage checkout for mobile app","Use Onepage checkout for mobile app"
"Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout","Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout"
"Custom Layout Update","Custom Layout Update"
"Enter xml layout update code here, it will only affect JMango360 Onepage checkout page","Enter xml layout update code here, it will only affect JMango360 Onepage checkout page"
"Custom CSS","Custom CSS"
"Enter css code here, it will only append to JMango360 Onepage checkout page","Enter css code here, it will only append to JMango360 Onepage checkout page"
"Hide non value additional attributes","Hide non value additional attributes"
"Attribute whose value is N/A or blank will not be displayed on Additional Information on product detail page","Atrribute whose value is N/A or blank will not be displayed on Additional Infomation on product detail page"
"Mobile App Login Settings","Mobile App Login Settings"
"App users must login to see product prices","App users must login to see product prices"
"This will prevent mobile app user using app without an account.","This will prevent mobile app user using app without an account."
"Discount Codes","Discount Codes"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Enable Order From in orders list","Ενεργοποίηση Παραγγελία Από στη λίστα παραγγελιών"
"Select to view which orders are from JMango360","Επιλογή για προβολή των παραγγελιών που είναι από το JMango360"
"Enable JMango360 User in Customers list","Ενεργοποίηση Χρήστη JMango360 στη λίστα Πελατών"
"Select to view which customers are from JMango360","Επιλογή για προβολή των πελατών που είναι από το JMango360"
"Adding extra attributes to registration form","Adding extra attributes to registration form"
"Adding these attributes to customer registration form in mobile app","Adding these attributes to customer registration form in mobile app"
"Show image of child product in Grouped Product Detail on mobile","Show image of child product in Grouped Product Detail on mobile"
"Please wait","Παρακαλούμε περιμένετε"
"A new version of the JMango360 Mobile plugin %s is available. Please update.","A new version of the JMango360 Mobile plugin %s is available. Please update."
"Group ID not found.","Group ID not found."
"Group not found.","Group not found."
"Sales Settings","Ρυθμίσεις Πωλήσεων"
"Customer Settings","Ρυθμίσεις Πελατών"
"Street Address #2 Label", "Street Address #2 Label"
"Set the label for 2nd street address.", "Set the label for 2nd street address."
"Street Address #2 as Required", "Street Address #2 as Required"
"Set if the street address field is required input.", "Set if the street address field is required input."
"Street Address #2 Validation", "Street Address #2 Validation"
"Set type of input for the street address field.", "Set type of input for the street address field."
"Street Address #3 Label", "Street Address #3 Label"
"Set the label for 3rd street address.", "Set the label for 3rd street address."
"Street Address #3 as Required", "Street Address #3 as Required"
"Street Address #4 Label", "Street Address #4 Label"
"Set the label for 4th street address.", "Set the label for 4th street address."
"Set if the street address field is required input.", "Set if the street address field is required input."
"Please close this form and login with your new account.", "Παρακαλούμε κλείστε αυτή τη φόρμα και συνδεθείτε με τον νέο σας λογαριασμό."
"Enable Hide on App on Manage Products","Ενεργοποίηση απόκρυψης προϊόντος στην Εφαρμογή"
"On Manage Products enable Hide on App","Ενεργοποίηση απόκρυψης προϊόντος στην Εφαρμογή"
"Enable this option to choose if a product is hidden on app or not","Ενεργοποιήστε αυτή τη δυνατότητα για επιλογή προβολής ή όχι αυτού του προϊόντος στην εφαρμογή"
"Enable this option to choose whether or not this product is visible in the app","Enable this option to choose whether or not this product is visible in the app"
"Hide on JMango360","Απόκρυψη στο JMango360"
"Hide on JMango360 App","Απόκρυψη στην Εφαρμογή JMango360"
"Override Default Sort Direction","Override Default Sort Direction"
"Choose to use direction here instead of mobile default sort direction.","Choose to use direction here instead of mobile default sort direction."
"Re-run SQL upgrade","Επανεκτέλεση αναβάθμισης SQL"
"Re-run successfully.","Επιτυχής επανεκτέλεση."
"Back to app","Πίσω στην εφαρμογή"
"Overall Rating","Συνολική βαθμολόγηση"
"Review Title","Τίτλος αξιολόγησης"
"Review","Αξιολόγηση"
"Nickname","Παρατσούκλι"
"I agree to the terms & conditions","Συμφωνώ με τους όρους και προϋποθέσεις"
"Would you recommend this product to your friends?","Would you recommend this product to your friends?"
"I recommend this product","Έχω προτείνει αυτό το προϊόν"
"I do not recommend this product","Δεν προτείνω αυτό το προϊόν"
"JMango360 Native Payment", "JMango360 Native Payment"
"Anonymous","Anonymous"
"Originally posted on %s.","Originally posted on %s."
