
"Connection credentials","Anmeldeinformationen"
"An error occurred while adding item to your wishlist", "Beim hinzufügen dieses Artikels zu Ihrer Wunschliste ist ein Fehler aufgetreten"
"Wishlist not allowed", "Wunschliste ist nicht zugelassen"
"Wishlist doesn't exist", "Wunschliste existiert nicht"
"Customer not logged in", "Der Kunde ist nicht eingeloggt"
"Coupon is not valid: ", "Gutschein ist ungültig: "
"Coupon could not be applied.", "Gutschein konnte nicht eingelöst werden."
"%s: Minimum quantity allowed for purchase is %s.", "%s: Mindestanzahl beim Einkauf ist %s."
"%s: Maximum quantity allowed for purchase is %s.", "%s: Maximalanzahl beim Einkauf ist %s."
"%s was added to your shopping cart.", "%s wurde Ihrem Warenkorb hinzugefügt."
"No cart data found.", "Es konnten keine Informationen zum Warenkorb gefunden werden."
"Your shopping cart has been updated.", "Ihr Warenkorb wurde aktualisiert."
"No bundle-product cart item ID found.", "Die Identifikation für Ihren gebündelten Produktkorb wurde nicht gefunden."
"The product you are trying to delete could not be found in the cart (item id is %s not found in cart).", "Der Artikel den Sie zum löschen ausgewählt haben konnte nicht in Ihrem Warenkorb gefunden werden."
"The product has been deleted from your shopping cart.", "Der Artikel wurde aus Ihrem Warenkorb entfernt."
"Category not found.", "Kategorie nicht gefunden."
"Category not available.", "Kategorie nicht verfügbar."
"No category found.", "Keine Kategorie gefunden."
"Your search returns no results.", "Bei Ihrer Suchanfrage konnten keine Resultate gefunden werden."
"Query cannot be empty.", "Suchanfrage ist ein Pflichtfeld."
"Methods are not complete yet. Cart shipping address is not yet completed and saved.", "Methoden sind unvollständig. Die zum Warenkorb gehörige Lieferadresse ist nicht gespeichert."
"Methods are not complete yet. Cart is empty.", "Methoden sind noch nicht vollständig. Warenkorb ist leer."
"Shipping method has no shipping carrier object: %s", "Liefermethode hat noch kein Versandträgerobjekt: %s"
"Carrier object has no collectRates method: %s", "Trägerobjekt hat noch keine collectRates Methode: %s"
"Shipping method has no rates object: %s", "Liefermethode hat kein rate object: %s"
"Shipping method has no getAllRates function: %s", "Liefermethode hat keine getAllRates Funktion: %s"
"Shipping method has no rates: %s", "Liefermethode hat keine rates: %s"
"Shipping method can not be empty.", "Liefermethode ist ein Pflichtfeld."
"This shipping method is currently not available.", "Diese Liefermethode ist zur Zeit nicht verfügbar."
"Customer shipping address not found.", "Lieferadresse des Kunden konnte nicht gefunden werden."
"Customer shipping address email not found.", "E-Mail-Adresse des Kunden konnte nicht gefunden werden."
"Customer billing address not found.", "Die Rechnungsadresse des Kunden konnte nicht gefunden werden."
"Payment method cannot be empty.", "Bitte wählen Sie eine Zahlungsmethode aus."
"Email cannot be empty.", "E-Mail Adresse ist ein Pflichtfeld."
"This payment method is currently not available.", "Diese Zahlungsmethode ist zur zeit nicht verfügbar."
"Please add ", "Bitte hinzufügen "
"Request info not matches the order.", "Die angefragten Informationen stimmen nicht it der Bestellung überein."
"No payment provider to redirect found.", "Kein Zahlungsdienstleister für die Umleitung gefunden."
"Request info does not match the quote. Probably the cart is ordered or the session is expired.", "Die angefragten Informationen stimmen nicht mit dem Angebot überein. Möglicherweise ist der Warenkorb schon bestellt oder die Sitzung ist abgelaufen."
"Cart is no longer active.", "Der Warenkorb ist nicht länger aktiv."
"Replaced by new order.", "Durch eine neue Bestellung ersetzt."
"Cannot save the address: ", "Die Adresse kann nicht gespeichert werden: "
"The address does not belong to this customer.", "Diese Adresse gehört nicht zu diesem Kunden."
"Default billing address can not be removed.", "Die Standartrechnungsadresse kann nicht entfernt werden."
"Default shipping address can not be removed.", "Die Standartlieferadresse kann nicht entfernt werden."
"An error occurred while deleting the address.", "Beim Löschen der Adresse ist ein Fehler aufgetreten."
"Address ID can not be empty.", "Adress-Identifikation ist ein Pflichtfeld."
"Invalid current password", "Ungültiges Passwort"
"The account information has been saved.", "Ihre Accountdaten wurden erfolgreich gespeichert."
"Could not retrieve list: ", "Konnte Liste nicht finden: "
"Order not found (no ID).", "Bestellung konnte nicht gefunden werden (keine ID)."
"Invalid email address.", "Ungültige E-Mail-Adresse."
"Please enter your email.", "Bitte geben Sie Ihre E-Mail-Adresse ein."
"This account needs confirmation. See in confirmation email.", "Dieser Account muss verifiziert werden. Bitte überprüfen Sie Ihre Bestätigungsmail."
"No products found.", "Keine Produkte gefunden."
"Category not found.", "Kategorie nicht gefunden."
"Cannot find customer ID, please try again!", "Kundennummer konnte nicht gefunden werden, bitte versuchen Sie es erneut!"
"You must leave at least one payment method available.", "Sie müssen mindestens eine Zahlungsmethode auswählen."
"You must leave at least one shipping method available.", "Sie müssen mindestens eine Liefermethode auswählen."
"None", "Keine"
"Base Image", "Basis-Image"
"Small Image", "Kleines Bild"
"Thumbnail", "Vorschauansicht"
"Shipping Excl. Tax (%s)", "Lieferkosten exkl. MwSt. (%s)"
"Shipping Incl. Tax (%s)", "Lieferkosten inkl. MwSt. (%s)"
"Subtotal (Excl. Tax)", "SubtZwischensumme (Exkl. MwSt.)"
"Subtotal (Incl. Tax)", "Zwischensumme (Inkl. MwSt.)"
"Grand Total Excl. Tax", "Gesamtsumme (Exkl. MwSt.)"
"Grand Total Incl. Tax", "Gesamtsumme (Inkl. MwSt.)"
"Unable to set Payment Method.", "Zahlungsmethode konnte nicht ausgewählt werden."
"Reports", "Berichte"
"Order Details", "Einzelheiten zur Bestellung"
"Sales Reports", "Verkaufsbericht"
"Orders Reports", "Bestellungsbericht"
"Customers Reports", "Kundenbericht"
"Version", "Version"
"The plugin version", "Plugin-Version"
"User Name", "Benutzername"
"This username will be checked from every App while a session is set up between the App and the Magento store.", "Dieser Benutzername wird von jeder App überprüft und wird zwischen Sitzungen der App und Magento erstellt."
"Api Key", "API-Schlüssel"
"This key will be checked from every App while a session is set up between the App and the Magento store.", "Dieser Benutzername wird von jeder App überprüft und wird zwischen Sitzungen der App und Magento erstellt."
"Use token for Api communications", "Benutzen Sie den API Token für Kommunikationen"
"Use token will add check and refresh the token with every request.", "Nutzung des Tokens führt zu einem extra Check und aktualisiert den Token mit jeder Anfrage."
"Catalogue Settings", "Katalog-Einstellungen"
"Include all active categories", "Alle aktiven Kategorien mit einbeziehen"
"Include all ""Active"" categories regardless of whether or not they are included in navigation", "Alle aktiven Kategorien mit einbeziehen, ungeachtet davon ob Sie in der Navigation sind"
"Display attribute on Product Listing", "Attribut auf der Produktliste anzeigen"
"This attribute will be displayed in product listing", "Dieses Attribut wird auf der Produktliste angezeigt werden"
"Display attribute on Product Details", "Attribut in Produktbeschreibung anzeigen"
"This attribute will be displayed in product details", "Dieses Attribut wird in der Produktbeschreibung angezeigt werden"
"Mobile App Checkout Settings", "Mobile App Zahlungseinstellungen"
"Excluded shipping methods", "Ausgenommene Liefermethoden"
"Select one or more, but not all shipping methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Wählen Sie eine oder mehrere, jedoch nicht alle Liefermethoden die nicht mit mobilen Apps kompatibel sind. Dies kann jederzeit während, oder nach der Erstellung der JMango360 App geschehen."
"Excluded payment methods", "Ausgenommene Zahlungsmethoden"
"Select one or more, but not all payment methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Wählen Sie eine oder mehrere, jedoch nicht alle Zahlungsmethoden die nicht mit mobilen Apps kompatibel sind. Dies kann jederzeit während, oder nach der Erstellung der JMango360 App geschehen."
"Web checkout URL", "Zahlungs-URL"
"Enter custom checkout url of website if Jmango360 plugin could not detect. Ex: checkout/onepage.", "Geben Sie eine benutzerspezifische URL ein, für den Fall. dass das JMango360 Plugin nicht gefunden werden kann. z.B. checkout/onepage"
"Product image gallery settings", "Einstellungen Produktbilder Gallerie"
"Detail page image cache-width", "Cachebreite des Detailseitenbildes"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Bestimme Standard ""cached"" Größe für ""große"" Bilder auf der Detailseite."
"Detail page image cache-height", "Cachehöhe des Detailseitenbildes"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Bestimme Standard ""cached"" Größe für ""große"" Bilder auf der Detailseite."
"Catalogue image cache-width", "Katalogbild Cachbreite"
"Set the default ""cached"" size for images on the catalogue pages.", "Bestimme Standard ""cached"" Größe für Bilder der Katalogseite."
"Catalogue image cache-height", "Cachehöhe des Katalogbildes"
"Set the default ""cached"" size for images on the catalog pages.", "Bestimme Standard ""cached"" Größe für Bilder auf der Katalogseite."
"Thumbnail image cache-width", "Cachebreite der Vorschauansicht"
"Set the default ""cached"" size for thumbnails on the detail pages.", "Bestimme Standard ""cached"" Größe für Vorschaubilder auf der Detailseite."
"Thumbnail image cache-height", "Cachehöhe der Vorschauansicht"
"Set the default """cached"" size for thumbnails on the detail pages.", "Bestimme Standard ""cached"" Größe für Vorschauansichten auf der Detailseite."
"Choose image type to be displayed if catalogue thumbnail is not available", "Wählen SIe den anzuzeigenden Bildtypen für den Fall, das keine Vorschauansicht verfügbar ist"
"Choose what kind of image of product that I would like to show in catalogue listing in mobile app.", "Wählen Sie welche Art Produktbild auf der Katalogliste in der mobilen App erscheinen soll."
"Choose image type to be displayed on catalogue page", "Wählen Sie den anzuzeigenden Bildtyp für die Katalogseite"
"Choose what kind of image of product that I would like to show in product listing in mobile app.", "Wählen Sie welche Art Produktbild in der Produktliste der mobilen App angezeigt werden soll."
"Stock Settings", "Inventareinstellungen"
"Display products availability in stock in mobile app", "Lieferverfügbarkeit in der mobilen App anzeigen"
"Developer", "Entwickler"
"Enable debug logging", "Debug Log In aktivieren"
"Log requests to japi.log. Disable in production.", "Anfragen zu japi.log. schicken. Deaktivierung wird bearbeitet."
"Sales", "Sales"
"Order Details", "Bestelldetails"
"Settings", "Einstellungen"
"Use Onepage checkout for mobile app","In der mobilen App ""Onepage""-Zahlung verwenden"
"Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout","Anstatt voreingestellte Magento Zahlung, ""Onepage""-Zahlung in der mobilen App verwenden"
"Custom Layout Update","Custom Layout Update"
"Enter xml layout update code here, it will only affect JMango360 Onepage checkout page","XML Layout Code hier eingeben, es wird nur die JMango360 ""Onepage"" Zahlungsseite betreffen"
"Custom CSS","Custom CSS"
"Enter css code here, it will only append to JMango360 Onepage checkout page","CSS Layout Code hier eingeben, es wird nur die JMango360 ""Onepage"" Zahlungsseite betreffen"
"Hide non value additional attributes","Attribute ohne Wert verstecken"
"Attribute whose value is N/A or blank will not be displayed on Additional Information on product detail page","Attribute mit N/A oder blanke Attribute werden nicht in zusätzlichen Produktinformationen angezeigt"
"Mobile App Login Settings","Mobile App Log-In Einstellungen"
"App users must login to see product prices","App-Nutzer müssen sich einloggen um Preise zu sehen und der Zum Warenkorb hinzufügen Button"
"This will prevent mobile app user using app without an account.","Das wird mobile App-Nutzer ohne Kundenkonto von der Nutzung abhalten."
"Discount Codes","Discount Codes"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Enable Order From in orders list","Bestellungen von Bestellliste aktivieren"
"Select to view which orders are from JMango360","Sehen Sie welche Bestellungen von JMango360 sind"
"Enable JMango360 User in Customers list","JMango360 Nutzer in Kundenliste aktivieren"
"Select to view which customers are from JMango360","Sehen Sie welche Kunden von JMango360 sind"
"Adding extra attributes to registration form","Zusätzliche Elemente zum Anmeldeformular hinzufügen"
"Adding these attributes to customer registration form in mobile app","Diese Attribute zur Kundenanmeldung in mobiler App hinzufügen"
"Show image of child product in Grouped Product Detail on mobile","Bild von Kinderprodukt in gruppierten Produktdetails mobil anzeigen"
"Please wait","Bitte warten"
"A new version of the JMango360 Mobile plugin %s is available. Please update.","A new version of the JMango360 Mobile plugin %s is available. Please update."
"Group ID not found.","Group ID not found."
"Group not found.","Group not found."
"Sales Settings","Sales Settings"
"Customer Settings","Customer Settings"
"Street Address #2 Label", "Street Address #2 Label"
"Set the label for 2nd street address.", "Set the label for 2nd street address."
"Street Address #2 as Required", "Street Address #2 as Required"
"Set if the street address field is required input.", "Set if the street address field is required input."
"Street Address #2 Validation", "Street Address #2 Validation"
"Set type of input for the street address field.", "Set type of input for the street address field."
"Street Address #3 Label", "Street Address #3 Label"
"Set the label for 3rd street address.", "Set the label for 3rd street address."
"Street Address #3 as Required", "Street Address #3 as Required"
"Street Address #4 Label", "Street Address #4 Label"
"Set the label for 4th street address.", "Set the label for 4th street address."
"Set if the street address field is required input.", "Set if the street address field is required input."
"Please close this form and login with your new account.", "Please close this form and login with your new account."
"Enable Hide on App on Manage Products","Schalten Sie bei Produkte verwalten ""Verbergen im App"" an"
"On Manage Products enable Hide on App","Schalten Sie bei Produkte verwalten ""Verbergen im App"" an"
"Enable this option to choose if a product is hidden on app or not","Schalten Sie diese Option ein wenn Sie ein Produktim App zeigen und verbergen möchten"
"Enable this option to choose whether or not this product is visible in the app","Enable this option to choose whether or not this product is visible in the app"
"Hide on JMango360","Hide on JMango360"
"Hide on JMango360 App","Hide on JMango360 App"
"Override Default Sort Direction","Override Default Sort Direction"
"Choose to use direction here instead of mobile default sort direction.","Choose to use direction here instead of mobile default sort direction."
"Re-run SQL upgrade","Neu-start SQL Upgrade"
"Re-run successfully.","Neu-start erfolgreich."
"Back to app","Terug naar de app"
