
"Connection credentials","Anslutningsreferenser"
"Query cannot be empty.", "Fråga kan inte vara tom."
"Methods are not complete yet. Cart shipping address is not yet completed and saved.", "Metoderna är inte kompletta än. Varukorgens leveransadress är ännu inte komplett och sparad."
"Methods are not complete yet. Cart is empty.", "Metoderna är inte kompletta än. Varukorgen är tom."
"Shipping method has no shipping carrier object: %s", "Leveransmetoden har ingen speditör: %s"
"Carrier object has no collectRates method: %s", "Speditör har ingen collectRates metod: %s"
"Shipping method has no rates object: %s", "Leveransmetod har inga avgifter: %s"
"Shipping method has no getAllRates function: %s", "Leveransmetoden har inga getAllRates funktioner: %s"
"Shipping method has no rates: %s", "Leveransmetoden har inga avgifter: %s"
"Shipping method can not be empty.", "Leveransmetod kan inte vara tomt."
"This shipping method is currently not available.", "Den här leveransmetoden är ännu inte tillgänglig."
"Customer shipping address not found.", "Kundens leveransadress hittades inte."
"Customer shipping address email not found.", "Kundens leverans e-post hittades inte."
"Customer billing address not found.", "Kundens fakturaadress hittades inte."
"Payment method cannot be empty.", "Betalningsmetod kan inte vara tom."
"Email cannot be empty.", "E-post kan inte vara tom."
"This payment method is currently not available.", "Den här betalningsmetoden är för tillfället inte tillgänglig."
"Please add ", "Vänligen ange "
"Request info not matches the order.", "Efterfrågad information matchar inte ordern."
"No payment provider to redirect found.", "Ingen betalningsleverantör hittades."
"Request info does not match the quote. Probably the cart is ordered or the session is expired.", "Efterfrågad information matchar inte frågan. Varukorgen kan ha beställts redan eller sessionstiden gått ut."
"Cart is no longer active.", "Varukorgen är inte längre aktiv."
"Replaced by new order.", "Ersatt med ny order."
"Cannot save the address: ", "Kan inte spara adressen: "
"The address does not belong to this customer.", "Adressen hör inte till den här kunden."
"Default billing address can not be removed.", "Huvudadressen kan inte tas bort."
"Default shipping address can not be removed.", "Huvuddleveransadressen kan inte tas bort."
"An error occurred while deleting the address.", "Ett fel uppstod vid borttagning av adressen."
"Address ID can not be empty.", "Adress ID kan inte var tomt."
"Invalid current password", "Ogiltigt nuvarande lösenord"
"The account information has been saved.", "Kontoinformationen har sparats."
"Could not retrieve list: ", "Kunde inte ladda lista: "
"Order not found (no ID).", "Order hittades inte  (no ID)."
"Invalid email address.", "Ogiltig e-postadress."
"Please enter your email.", "Vänligen ange din e-postadress."
"This account needs confirmation. See in confirmation email.", "Det här kontot behöver konfirmeras. Se konfirmationsmailet."
"No products found.", "Inga produkter hittades."
"Category not found.", "Kategorin hittades inte."
"Cannot find customer ID, please try again!", "Kan inte hitta kund ID, vänligen försök igen!"
"You must leave at least one payment method available.", "Du måste ange minst en tillgänglig betalningsmetod."
"You must leave at least one shipping method available.", "Du måste ange minst en tillgänglig leveransmetod."
"None", "Ingen"
"Base Image", "Bild bas"
"Small Image", "Bild liten"
"Thumbnail", "Tumnagel"
"Shipping Excl. Tax (%s)", "Frakt exkl. skatt (%s)"
"Shipping Incl. Tax (%s)", "Frakt inkl. skatt (%s)"
"Subtotal (Excl. Tax)", "Total (exkl. skatt)"
"Subtotal (Incl. Tax)", "Total (inkl. skatt)"
"Grand Total Excl. Tax", "Totalsumma exkl. skatt"
"Grand Total Incl. Tax", "Totalsumma inkl. skatt"
"Unable to set Payment Method.", "Kan ej ange betalningsmetod."
"Reports", "Rapporter"
"Order Details", "Orderinformation"
"Sales Reports", "Säljrapporter"
"Orders Reports", "Orderrapporter"
"Customers Reports", "Kundrapporter"
"Version", "Version"
"The plugin version", "Plugin-versionen"
"User Name", "Användarnamn"
"This username will be checked from every App while a session is set up between the App and the Magento store.", "Det här användarnamnet kommer att kontrolleras från samtliga appar medan en session sätts upp mellan appen och Magento-butiken."
"Api Key", "Api nyckel"
"This key will be checked from every App while a session is set up between the App and the Magento store.", "Den här nyckeln kommer att kontrolleras frå samtliga appar meda en session sätts upp mellan appen och Magento-butiken."
"Use token for Api communications", "Använd tecken för Api-kommunikation"
"Use token will add check and refresh the token with every request.", "Använd tecken kommer att kontrollera och uppdatera tecknen vid varje förfrågan."
"Catalogue Settings", "Kataloginställningar"
"Include all active categories", "Inkludera alla aktiva kategorier"
"Include all ""Active"" categories regardless of whether or not they are included in navigation", "Inkludera alla ""Aktiva"" kategorier oavsett om de är inkluderade i navigationen eller inte."
"Display attribute on Product Listing", "Visa attribut i produktlistan"
"This attribute will be displayed in product listing", "Detta attribut visas i produktlistan"
"Display attribute on Product Details", "Visa attribut i produktdetaljer"
"This attribute will be displayed in product details", "Detta attribut visas i produktdetaljer"
"Mobile App Checkout Settings", "Mobilapp Check ut inställnignar"
"Excluded shipping methods", "Exkluderade leveransmetoder"
"Select one or more, but not all shipping methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Välj en eller flera, men inte alla leveransmetoder som inte passar att användas i en mobil miljö. Detta kan ändra när som helst udner eller efter skapande av JMando360 applikationen."
"Excluded payment methods", "Exkluderade betalningmetoder"
"Select one or more, but not all payment methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Välj en eller flera, men inte alla betalningsmetoder som inte är passande i sen mobil miljö. Detta kan ändra när som helst udner eller efter skapande av JMando360 applikationen."
"Web checkout URL", "Webb check ut URL"
"Enter custom checkout url of website if Jmango360 plugin could not detect. Ex: checkout/onepage.", "Ange en specifik check ut url om Jmango360-pluginnet inte kan hitta. Ex: checkout/onepage."
"Product image gallery settings", "Produktbilder galleri inställningar"
"Detail page image cache-width", "Detaljsida blid cache-width"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Ange default ""cached"" storlek för ""stor"" bilder på detaljsidorna."
"Detail page image cache-height", "Detaljsida bild cache-height"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Ange default ""cached"" storlek för ""stor"" bilder på detaljsidorna."
"Catalogue image cache-width", "Katalog bild cache-width"
"Set the default ""cached"" size for images on the catalogue pages.", "Ange default ""cached"" storlek för bilder på katalogsidorna."
"Catalogue image cache-height", "Katalog bild cache-height"
"Set the default ""cached"" size for images on the catalog pages.", "Ange default ""cached" storlek för bilder på katalogsidorna."
"Thumbnail image cache-width", "Tumnagel bild cache-width"
"Set the default ""cached"" size for thumbnails on the detail pages.", "Ange default ""cached"" storlek för tumnaglar på detaljsidorna."
"Thumbnail image cache-height", "Tumnagel bild cache-height"
"Set the default """cached"" size for thumbnails on the detail pages.", "Ange default ""cached"" storlek för tumnaglar på detaljsidorna."
"Choose image type to be displayed if catalogue thumbnail is not available", "Välj bildtyp som ska visas om katalogens tumnagel inte är tillgänglig"
"Choose what kind of image of product that I would like to show in catalogue listing in mobile app.", "Välj vilken typ av bild på produkten som jag vill visa i listan i katalogens mobilapp."
"Choose image type to be displayed on catalogue page", "Välj bildtyp som ska visas på katalogsidan"
"Choose what kind of image of product that I would like to show in product listing in mobile app.", "Välj vilken typ av bild på produkten som jag vill visa i listan över produkten i mobilappen."
"Stock Settings", "Lagerinställningar"
"Display products availability in stock in mobile app", "Visa produktens tillgänglighet i lager i mobilappen"
"Developer", "Utvecklare"
"Enable debug logging", "Slå på debug loggning"
"Log requests to japi.log. Disable in production.", "Logga försök i japi.log. Stäng av i produktion."
"Sales", "Försäljning"
"Order Details", "Orderinformation"
"Settings", "Inställningar"
"Use Onepage checkout for mobile app","Använd Onepage check ut för mobilapp"
"Select to use JMango360 Onepage responsive web checkout for mobile app instead of default Magento checkout","Välj att använda JMango360 Onepage responsiv webb check ut för mobilappen istället för Magento checkout"
"Custom Layout Update","Specifik Layout-uppdatering"
"Enter xml layout update code here, it will only affect JMango360 Onepage checkout page","Ange xml layout update code här, det kommer endast att påverka JMango360 Onepage check ut-sidan"
"Custom CSS","Specifik CSS"
"Enter css code here, it will only append to JMango360 Onepage checkout page","Ange css-kod här, det kommer endast att påverka JMango360 Onepage check ut-sidan"
"Hide non value additional attributes","Göm övriga tomma attribut"
"Attribute whose value is N/A or blank will not be displayed on Additional Information on product detail page","Attribut vilkas värde är N/A eller tomt kommer inte att visas under Övrig information på produktens detaljsida"
"Mobile App Login Settings","Mobilapp logininställningar"
"App users must login to see product prices","Användare måste logga in för att se priser och lägg till i varukorg-knappar"
"This will prevent mobile app user using app without an account.","Detta kommer att hindra att mobilappen används utan ett konto."
"Discount Codes","Discount Codes"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Enable Order From in orders list","Slå på orderformulär i orderlistan"
"Select to view which orders are from JMango360","Välj att se vilja ordrar som kommer från JMago360"
"Enable JMango360 User in Customers list","Slå på JMango360-användare i kundlistan"
"Select to view which customers are from JMango360","Välj att se vilka kunder som kommer från JMango360"
"Adding extra attributes to registration form","Lägg till extra attribut i registreringsformulären"
"Adding these attributes to customer registration form in mobile app","Lägg till dessa attribut i kundregistreringsformuläret i mobilappen"
"Show image of child product in Grouped Product Detail on mobile","Visa bilden av barnprodukter i grupperade produktdetaljer på detaljsidan i mobilen"
"Please wait","Vänligen vänta"
"A new version of the JMango360 Mobile plugin %s is available. Please update.","En ny version av JMango360 mobilplugin % är tillgängligt. Vänligen uppdataera."
"Group ID not found.","Group ID not found."
"Group not found.","Group not found."
"Sales Settings","Försäljningsinställningar"
"Customer Settings","Kundinställningar"
"Street Address #2 Label","Gatuadress #2 etikett"
"Set the label for 2nd street address.", "Ange etiketten för andra gatuadressen."
"Street Address #2 as Required", "Gatuadress #2 som obligatorisk"
"Set if the street address field is required input.", "Ange om gatuadressen ska vara ett obligatoriskt fält."
"Street Address #2 Validation", "Gatuadress #2 Validering"
"Set type of input for the street address field.", "Ange typ an input för fältet gatuadress."
"Street Address #3 Label", "Gatuadress #3 etikett"
"Set the label for 3rd street address.", "Ange etiketten för tredje gatuadressen."
"Street Address #3 as Required", "Gatuadress #3 som obligatorisk"
"Street Address #4 Label", "Gatuadress #4 etikett"
"Set the label for 4th street address.", "Ange etiketten för fjärde gatuadressen."
"Set if the street address field is required input.", "Ange om gatuadressen ska vara ett obligatoriskt fält."
"Please close this form and login with your new account.", "Vänligen stäng detta formulär och logga in med ditt nya konto."
"Enable Hide on App on Manage Products","Slå på Dölj i App i Hantera Produkter"
"On Manage Products enable Hide on App","Slå på Dölj i App i Hantera Produkter"
"Enable this option to choose if a product is hidden on app or not","Slå på det här alternativet för att välja om en produkt är gömd i appaen eller inte"
"Enable this option to choose whether or not this product is visible in the app","Slå på det här alternativet för att välja om en produkt är gömd i appaen eller inte"
"Hide on JMango360","Hide on JMango360"
"Hide on JMango360 App","Hide on JMango360 App"
"Override Default Sort Direction","Override Default Sort Direction"
"Choose to use direction here instead of mobile default sort direction.","Choose to use direction here instead of mobile default sort direction."
"Re-run SQL upgrade","Starta om SQL-uppdatering"
"Re-run successfully.","Omstart lyckad."
"Coupon","Kupongkod"
"Enter coupon code here","Ange kupongkod här"
"Apply","Applicera"
"Cancel","Avbryt"
"Shipping method","Leveransmeto"
"Order Summary","Ordersammanfattning"
"Hide Details","Dölj Detaljer"
"Show Details","Visa Detaljer"
